source_season,canonical_season,gender,competition_id,competition_name,fixture_count,rich_stats,sparse_stats,score_only_or_zero,no_stats,points_summary,lineup,commentary,all_season_stat,first_datetime,last_datetime
2023,2022-23,Men,257,SVNS World Championships - Hong Kong,45,45,0,0,0,45,45,45,45,2022-11-04T07:40:00+0000,2022-11-06T11:00:00+0000
2023,2022-23,Men,252,SVNS Series - Cape Town,45,45,0,0,0,45,45,45,45,2022-12-09T12:22:00+0000,2022-12-11T17:56:00+0000
2023,2022-23,Men,296,SVNS - Los Angeles,45,45,0,0,0,45,45,45,45,2023-02-25T17:15:00+0000,2023-02-27T01:28:00+0000
2023,2022-23,Men,256,World Rugby Sevens Series - Vancouver 7s,45,45,0,0,0,45,45,45,45,2023-03-03T19:30:00+0000,2023-03-06T02:26:00+0000
2023,2022-23,Men,258,SVNS Series - Singapore,45,45,0,0,0,45,45,45,45,2023-04-08T01:30:00+0000,2023-04-09T11:28:00+0000
2023,2022-23,Women,261,SVNS Women - Dubai,34,34,0,0,0,34,34,34,34,2022-12-02T05:00:00+0000,2022-12-03T14:56:00+0000
2023,2022-23,Women,348,SVNS Women - Cape Town,34,34,0,0,0,34,34,34,34,2022-12-09T10:00:00+0000,2022-12-11T17:26:00+0000
2023,2022-23,Women,746,SVNS Women - Vancouver,34,34,0,0,0,34,34,34,34,2023-03-03T17:15:00+0000,2023-03-06T01:56:00+0000
2023,2022-23,Women,350,SVNS Women - Hong Kong,34,34,0,0,0,34,34,34,34,2023-03-31T04:16:00+0000,2023-04-02T11:40:00+0000
2023,2022-23,Women,518,World Rugby Sevens Series Women - Toulouse 7s,34,34,0,0,0,34,34,34,34,2023-05-12T08:00:00+0000,2023-05-14T15:26:00+0000
2024,2023-24,Men,252,SVNS Series - Cape Town,32,32,0,0,0,32,32,32,32,2023-12-09T08:06:00+0000,2023-12-10T17:23:00+0000
2024,2023-24,Men,748,SVNS Series - Perth,32,32,0,0,0,32,32,32,32,2024-01-26T04:44:00+0000,2024-01-28T09:53:00+0000
2024,2023-24,Men,256,SVNS Series - Vancouver,16,16,0,0,0,16,16,16,16,2024-02-23T21:52:00+0000,2024-02-25T18:37:00+0000
2024,2023-24,Men,296,SVNS Series - Los Angeles,4,4,0,0,0,4,4,4,4,2024-03-02T04:00:00+0000,2024-03-03T04:32:00+0000
2024,2023-24,Men,257,SVNS World Championships - Hong Kong,1,1,0,0,0,1,1,1,1,2024-04-07T02:49:00+0000,2024-04-07T02:49:00+0000
2024,2023-24,Men,258,SVNS Series - Singapore,1,1,0,0,0,1,1,1,1,2024-05-04T05:37:00+0000,2024-05-04T05:37:00+0000
2024,2023-24,Women,261,SVNS Women - Dubai,32,31,1,0,0,32,32,32,32,2023-12-02T05:00:00+0000,2023-12-03T15:13:00+0000
2024,2023-24,Women,348,SVNS Women - Cape Town,32,32,0,0,0,32,32,32,32,2023-12-09T07:00:00+0000,2023-12-10T16:43:00+0000
2024,2023-24,Women,750,SVNS Women - Perth,32,32,0,0,0,32,32,32,32,2024-01-26T04:00:00+0000,2024-01-28T09:13:00+0000
2024,2023-24,Women,746,SVNS Women - Vancouver,17,17,0,0,0,17,17,17,17,2024-02-23T19:30:00+0000,2024-02-26T00:43:00+0000
2024,2023-24,Women,751,SVNS Women - Los Angeles,4,4,0,0,0,4,4,4,4,2024-03-02T00:30:00+0000,2024-03-04T01:43:00+0000
